All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
527       	I   	Operational         	10151   	Program started                         	2017-03-22 06:08:43 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
528       	I   	Operational         	10151   	Program started                         	2017-03-22 06:08:43 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
529       	W   	Program             	41617   	Too intense frequency of Write Instructions	2017-03-22 06:09:34 	A high usage frequency of user interface write instructions, such as TPWrite, has forced the program execution to slow down.	{args: }
530       	W   	User                	80002   	SANS Receiver disconnect                	2017-03-22 06:10:02 	Connection lost.  Waiting for new connection.	{args: "SANS Receiver disconnect", "Connection lost.  Waiting for new connection."}
531       	W   	User                	80002   	SANS Sender disconnect                  	2017-03-22 06:10:02 	Connection lost.  Waiting for new connection.	{args: "SANS Sender disconnect", "Connection lost.  Waiting for new connection."}
532       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:07 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
533       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:08 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
534       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
535       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
536       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:11 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
537       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:11 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
538       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:12 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
539       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:14 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
540       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:14 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
541       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
542       	W   	Program             	40191   	Instruction error                       	2017-03-22 06:11:16 	 Task T_ROB1: Variable and trap routine already connected.	{args: "T_ROB1"}
543       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:16 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
544       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:17 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
545       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:19 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
546       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:20 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
547       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
548       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:21 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
549       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:23 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
550       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:24 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
551       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:25 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
552       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:26 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
553       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:27 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
554       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:28 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
555       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:29 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
556       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:30 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
557       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:31 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
558       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:32 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
559       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:34 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
560       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:11:35 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
